DT,NDVI,P,ET,LST
2008-01-20,0.3679,2.7486,52.5366,36.2745
2008-01-31,0.3553,2.2455,64.1068,42.8209
2008-02-10,0.3416,1.2748,60.9996,40.7491
2008-02-20,0.3279,2.5829,65.377,43.2064
2008-02-28,0.3162,1.1564,60.0862,43.2296
2008-03-10,0.3102,3.7468,66.4731,43.5572
2008-03-20,0.3082,3.4837,65.6059,44.6096
2008-03-31,0.32,6.1415,73.4082,42.8336
2008-04-10,0.3612,47.1046,60.4325,38.2136
2008-04-20,0.4365,73.9688,47.5773,32.0011
2008-04-30,0.5228,39.9308,48.5883,32.5191
2008-05-10,0.5789,45.8158,47.213,31.3831
2008-05-20,0.5943,25.9743,49.8975,31.480999999999998
2008-05-31,0.5736,30.4674,58.858000000000004,31.6287
2008-06-10,0.5303,16.7471,52.4312,29.894000000000002
2008-06-20,0.4821,5.3927,56.2293,31.5136
2008-06-30,0.4387,5.4587,61.0176,33.3761
2008-07-10,0.4053,8.6338,60.9986,33.8389
2008-07-20,0.3684,9.4709,52.2813,31.8437
2008-07-31,0.3384,9.5952,61.6207,33.6565
2008-08-10,0.3255,26.3463,57.1962,33.463
2008-08-20,0.3362,10.8882,54.5069,34.0028
2008-08-31,0.3636,15.3688,63.1477,37.9448
2008-09-10,0.3925,20.4938,61.2936,38.0656
2008-09-20,0.4127,16.4698,55.6918,36.353
2008-09-30,0.4455,27.1849,48.7406,34.8876
2008-10-10,0.4971,33.3722,42.5803,32.5692
2008-10-20,0.5602,47.0644,46.4418,30.9387
2008-10-31,0.6143,62.4656,43.6364,29.3879
2008-11-10,0.6413,58.0391,32.7251,26.6031
2008-11-20,0.6442,2.8399,44.7042,32.5886
2008-11-30,0.6097,3.2685,45.4362,33.6571
2008-12-10,0.5567,1.4583,45.5752,34.3821
2008-12-20,0.4923,1.6343,48.5283,38.1256
2008-12-31,0.4378,2.2919,53.7473,37.9859
2009-01-10,0.3993,2.5977,52.6935,40.3239
2009-01-20,0.3793,3.2004,50.2164,37.9301
2009-01-31,0.3711,8.9322,50.4272,36.1562
2009-02-10,0.3692,3.1981,57.7658,41.7493
2009-02-20,0.3627,3.2212,59.4202,41.0494
2009-02-28,0.35100000000000003,5.5125,49.7419,42.3202
2009-03-10,0.3391,7.0632,65.2483,44.6882
2009-03-20,0.34,6.8525,65.4816,40.9938
2009-03-31,0.3734,15.405999999999999,67.7773,40.9223
2009-04-10,0.442,49.675,46.0996,33.7824
2009-04-20,0.5246,42.9997,47.7871,32.8764
2009-04-30,0.5826,41.5452,50.4973,30.8194
2009-05-10,0.6079,18.3695,54.8269,33.1191
2009-05-20,0.615,64.8749,46.2409,29.8556
2009-05-31,0.6063,19.4056,61.8642,31.6983
2009-06-10,0.5689,5.5955,60.8393,34.5707
2009-06-20,0.5122,7.3455,56.9435,34.1994
2009-06-30,0.4469,7.5257,57.3831,33.9395
2009-07-10,0.3853,4.6781,57.193000000000005,31.15
2009-07-20,0.3452,6.3617,59.7546,33.9127
2009-07-31,0.3298,4.0776,67.3144,35.4145
2009-08-10,0.3327,6.596,61.6537,34.8304
2009-08-20,0.3444,10.9151,63.3098,36.3548
2009-08-31,0.3602,7.2736,70.2979,37.9106
2009-09-10,0.3693,24.9301,64.292,37.9903
2009-09-20,0.3894,20.494,59.4117,38.2831
2009-09-30,0.4331,34.3723,50.8002,34.0832
2009-10-10,0.5073,43.0726,44.6526,34.6573
2009-10-20,0.5866,45.1125,39.6267,28.8153
2009-10-31,0.6252,17.9877,46.6145,30.7839
2009-11-10,0.6225,8.99,48.9197,33.5553
2009-11-20,0.5917,4.7179,47.6941,33.7908
2009-11-30,0.5489999999999999,12.9604,45.8118,34.473
2009-12-10,0.503,7.3403,45.5619,34.0954
2009-12-20,0.4623,9.0911,46.2184,35.2076
2009-12-31,0.4267,7.6607,48.4696,35.8632
2010-01-10,0.3959,1.8498,47.9203,38.8926
2010-01-20,0.3712,1.9491,53.371,38.6521
2010-01-31,0.3501,3.3244,63.4293,40.6749
2010-02-10,0.3347,8.4169,55.0658,41.9095
2010-02-20,0.3355,16.6226,53.6985,39.4136
2010-02-28,0.3647,21.1506,40.8051,41.6572
2010-03-10,0.424,59.1979,41.7665,32.4708
2010-03-20,0.5016,22.5973,50.5541,36.5661
2010-03-31,0.5706,45.5355,52.0976,33.033
2010-04-10,0.6064,27.9363,50.3932,33.0949
2010-04-20,0.6208,106.1451,38.454,31.3164
2010-04-30,0.6323,85.4583,37.5819,29.8349
2010-05-10,0.6411,54.4495,41.6934,29.2557
2010-05-20,0.6417,63.9409,43.8446,28.7275
2010-05-31,0.6231,51.4535,46.9821,28.3272
2010-06-10,0.5888,6.8831,48.0601,30.5249
2010-06-20,0.5345,5.0254,48.3484,29.2876
2010-06-30,0.4847,5.6171,48.7293,30.6529
2010-07-10,0.4427,4.8157,51.1235,31.78
2010-07-20,0.4145,5.8636,52.5238,33.9194
2010-07-31,0.3996,19.149,51.7286,31.1792
2010-08-10,0.3975,5.9976,54.4439,31.8747
2010-08-20,0.4044,10.1234,56.9002,35.9689
2010-08-31,0.4194,24.063000000000002,53.7807,34.3537
2010-09-10,0.4382,13.5058,59.6237,36.5936
2010-09-20,0.4619,25.7666,54.141000000000005,33.9957
2010-09-30,0.4897,14.5411,50.1175,33.3587
2010-10-10,0.5201,17.3585,49.4515,33.2068
2010-10-20,0.5562,19.0229,45.4714,32.0849
2010-10-31,0.5836,16.4714,44.1198,29.8383
2010-11-10,0.5835,2.9247,52.2978,34.2895
2010-11-20,0.5546,3.7983,48.4583,34.2386
2010-11-30,0.5128,7.871,43.9773,34.3573
2010-12-10,0.4627,1.7976,51.4584,38.9846
2010-12-20,0.4221,2.0087,52.7299,38.1733
2010-12-31,0.391,3.0914,53.4697,37.0426
2011-01-10,0.3682,1.3495,52.8039,39.8798
2011-01-20,0.3498,1.7279,54.0186,40.717
2011-01-31,0.3367,1.7,64.148,39.6914
2011-02-10,0.3269,1.7084,62.6069,44.5412
2011-02-20,0.3203,2.101,58.5691,41.8092
2011-02-28,0.3167,1.6106,52.0972,44.8581
2011-03-10,0.3162,3.4349,65.5202,44.5574
2011-03-20,0.3181,5.2625,59.5934,42.0173
2011-03-31,0.3153,3.1858,74.2998,45.0211
2011-04-10,0.3192,9.9815,63.1888,42.5051
2011-04-20,0.342,10.2958,58.0451,39.7463
2011-04-30,0.396,46.4327,47.9648,38.284
2011-05-10,0.4737,58.8215,43.0051,32.821999999999996
2011-05-20,0.5374,65.0948,44.833999999999996,31.9575
2011-05-31,0.5622,48.8257,49.7895,29.1537
2011-06-10,0.556,14.270999999999999,50.1641,29.4477
2011-06-20,0.5312,14.6812,47.6808,29.6719
2011-06-30,0.4971,8.725,49.494,30.7356
2011-07-10,0.4654,5.0162,54.0144,32.6512
2011-07-20,0.4379,10.9245,56.1584,32.4415
2011-07-31,0.4166,18.297,64.3213,33.4301
2011-08-10,0.4008,12.905,61.1233,33.9493
2011-08-20,0.3948,9.2134,63.0461,34.7942
2011-08-31,0.4009,22.6234,70.8347,34.5897
2011-09-10,0.418,27.971999999999998,57.7285,33.5069
2011-09-20,0.4499,21.2106,59.8614,34.6477
2011-09-30,0.4952,23.307,60.0929,34.7752
2011-10-10,0.55,38.8325,48.2012,32.6452
2011-10-20,0.596,34.4219,42.0643,29.9652
2011-10-31,0.6159,17.3292,51.1003,34.2284
2011-11-10,0.6164,63.4301,33.9953,29.9552
2011-11-20,0.613,5.9025,41.9984,30.4258
2011-11-30,0.5994,19.9999,35.4297,29.2004
