DT,NDVI,P,ET,LST
2005-12-31,0.5660000000000001,2.3554,62.299,35.6296
2006-01-10,0.5253,4.4415,55.8473,34.9465
2006-01-20,0.4963,3.1077,56.9685,33.9817
2006-01-31,0.4754,3.727,64.5437,38.5555
2006-02-10,0.45799999999999996,1.681,63.3278,38.7364
2006-02-20,0.4461,3.883,61.168,38.3617
2006-02-28,0.452,29.9524,41.8302,33.3906
2006-03-10,0.4815,6.825,60.1606,36.5498
2006-03-20,0.5355,27.1275,55.641999999999996,33.0498
2006-03-31,0.6009,32.1665,63.3595,32.9386
2006-04-10,0.6674,143.4062,42.5879,27.1911
2006-04-20,0.7238,49.8597,47.8011,29.4893
2006-04-30,0.7563,65.2727,36.6066,25.2317
2006-05-10,0.7674,43.8335,44.1131,26.0836
2006-05-20,0.763,49.0582,37.6555,25.3493
2006-05-31,0.7438,22.1064,48.2752,25.8485
2006-06-10,0.7061,10.4345,42.232,25.0987
2006-06-20,0.6625,10.4494,44.5781,26.5879
2006-06-30,0.6095,18.7673,42.4122,28.1573
2006-07-10,0.5469,5.6842,41.1188,26.7799
2006-07-20,0.484,4.4739,44.4116,27.9946
2006-07-31,0.4337,7.8503,47.2687,28.756999999999998
2006-08-10,0.4286,26.473000000000003,41.3314,30.8561
2006-08-20,0.4612,7.6333,47.6685,28.4966
2006-08-31,0.5198,26.9238,54.9964,30.0702
2006-09-10,0.5511,14.825999999999999,49.2849,30.1707
2006-09-20,0.5583,13.8151,49.1507,32.2775
2006-09-30,0.5673,21.5224,48.0603,31.9347
2006-10-10,0.6048,49.1781,43.0309,28.3461
2006-10-20,0.6629999999999999,45.7154,42.7052,26.2154
2006-10-31,0.7182,85.8964,37.8291,23.8724
2006-11-10,0.7475,12.0674,42.4914,25.7037
2006-11-20,0.7568,24.2825,38.2252,25.6403
2006-11-30,0.757,50.1046,41.9695,26.6415
2006-12-10,0.7474,24.9818,40.5047,25.253
2006-12-20,0.7196,2.9136,45.7626,28.4861
2006-12-31,0.6769,3.2641,49.6314,30.2832
2007-01-10,0.6285,5.9257,50.3335,33.5868
2007-01-20,0.5857,6.2316,51.5524,33.8914
2007-01-31,0.5489999999999999,6.6247,57.2887,34.2707
2007-02-10,0.5181,5.6117,54.5756,36.2803
2007-02-20,0.489,1.9475,61.7391,37.3338
2007-02-28,0.4616,6.2647,50.0857,39.084
2007-03-10,0.4465,9.97,66.8451,41.5651
2007-03-20,0.4491,25.1772,63.056999999999995,40.2167
2007-03-31,0.4756,18.9333,62.0852,32.7209
2007-04-10,0.5334,20.6312,57.528999999999996,33.9248
2007-04-20,0.6134,139.2757,38.1551,29.6365
2007-04-30,0.6896,46.0912,46.9064,27.7229
2007-05-10,0.7332,46.9407,42.1039,25.063000000000002
2007-05-20,0.7443,62.0102,41.78,26.1239
2007-05-31,0.736,47.7813,46.3562,25.4882
2007-06-10,0.721,25.7105,41.7102,24.9539
2007-06-20,0.6978,25.9768,42.3813,25.0927
2007-06-30,0.6715,13.6787,41.071999999999996,27.0727
2007-07-10,0.6358,9.423,43.8429,27.883000000000003
2007-07-20,0.5884,3.2795,46.6772,26.921999999999997
2007-07-31,0.5328,19.2518,50.5247,28.2461
2007-08-10,0.4895,8.262,45.8875,27.0587
2007-08-20,0.4807,20.3803,44.9094,28.1575
2007-08-31,0.5015,13.1485,54.493,29.3325
2007-09-10,0.5463,34.6206,47.7034,29.7351
2007-09-20,0.5887,27.2405,44.8457,31.3421
2007-09-30,0.6293,61.0266,43.9289,31.0427
2007-10-10,0.6761,71.1022,44.4374,27.0212
2007-10-20,0.7183,41.6439,43.3469,26.5243
2007-10-31,0.7381,30.7577,53.9642,26.9777
2007-11-10,0.7353,27.8197,43.5433,26.5395
2007-11-20,0.7173,12.7009,44.74,28.2956
2007-11-30,0.6763,9.2754,48.6876,30.6589
2007-12-10,0.6212,2.0287,49.9954,32.8912
2007-12-20,0.5621,1.5036,52.0318,35.8974
2007-12-31,0.5106,1.8430000000000002,59.0509,34.9721
2008-01-10,0.4748,2.6939,56.663999999999994,39.2311
2008-01-20,0.4519,3.4154,52.215,33.7158
2008-01-31,0.4356,2.5448,63.4189,40.8501
2008-02-10,0.4186,2.9259,60.8775,39.2912
2008-02-20,0.4014,3.0117,62.6659,40.0883
2008-02-28,0.3853,1.8865,59.6364,40.7925
2008-03-10,0.3813,4.0155,66.0363,40.6659
2008-03-20,0.3899,6.8911,62.5975,39.9793
2008-03-31,0.4217,33.9903,66.1393,38.0515
2008-04-10,0.4814,30.2356,55.2922,33.9568
2008-04-20,0.5647,64.1811,46.7522,29.6158
2008-04-30,0.6455,54.0458,45.753,28.5409
2008-05-10,0.6905,46.9744,42.2456,26.6495
2008-05-20,0.6906,39.3907,45.5155,26.6302
2008-05-31,0.65,43.6799,50.4007,25.8915
2008-06-10,0.5938,19.4846,43.6808,24.8122
2008-06-20,0.5585,7.1694,45.1353,25.5015
2008-06-30,0.5408,7.7268,48.8873,29.2154
2008-07-10,0.5279,10.8292,46.919,28.5774
2008-07-20,0.4692,9.9574,42.453,27.9718
2008-07-31,0.4021,6.0054,50.1372,29.5852
2008-08-10,0.3667,8.9653,49.0856,29.8454
2008-08-20,0.3867,7.3513,46.9066,28.986
2008-08-31,0.4487,7.6056,53.9452,32.8949
2008-09-10,0.5164,20.029,52.6306,33.6063
2008-09-20,0.539,22.8125,45.7127,32.0822
2008-09-30,0.5582,28.8782,46.0983,30.6438
2008-10-10,0.6016,66.9477,39.5367,29.1445
2008-10-20,0.6629999999999999,63.9109,44.31399999999999,27.647
2008-10-31,0.7185,115.7437,40.8124,25.4181
2008-11-10,0.7447,103.1953,33.2664,24.256
2008-11-20,0.7476,3.4589,45.8534,28.6679
2008-11-30,0.7211,3.9037,47.1745,29.9082
2008-12-10,0.677,1.8325,47.6019,30.497
2008-12-20,0.6152,1.7154,50.9381,34.3043
2008-12-31,0.5564,2.4079,57.2994,33.7952
2009-01-10,0.5154,3.6322,55.2504,37.4733
2009-01-20,0.4967,3.9141,51.9541,34.9614
2009-01-31,0.4934,25.0894,52.1144,31.6923
2009-02-10,0.4983,3.7537,59.4082,37.1987
2009-02-20,0.4925,3.6707,61.2344,36.6549
2009-02-28,0.475,4.747,50.5274,40.3939
2009-03-10,0.4552,9.8065,66.4558,42.0698
2009-03-20,0.4436,9.8432,65.0637,38.9791
2009-03-31,0.4648,23.1166,64.4022,39.0297
2009-04-10,0.5239,87.2453,42.7538,30.1064
2009-04-20,0.6083,52.1578,43.3098,29.0002
2009-04-30,0.6849,51.2883,45.4736,27.4055
2009-05-10,0.7297,24.3655,49.8708,27.6116
2009-05-20,0.7479,115.5352,36.7746,24.6499
2009-05-31,0.7482,36.641999999999996,50.848,25.3313
2009-06-10,0.7305,6.4732,48.4604,26.5591
2009-06-20,0.6923,7.0048,47.262,26.2846
2009-06-30,0.6418,10.9691,47.7187,27.2892
2009-07-10,0.5702,4.0397,46.2454,26.4167
2009-07-20,0.5182,4.9446,48.2987,28.0447
2009-07-31,0.485,3.2987,55.1144,30.835
2009-08-10,0.4764,4.7095,50.0222,30.320999999999998
2009-08-20,0.4774,8.5109,50.1489,31.1135
2009-08-31,0.4875,5.1109,60.0449,33.7971
2009-09-10,0.4855,14.0711,54.2967,33.2331
2009-09-20,0.4975,24.7219,51.0307,35.0142
2009-09-30,0.531,28.8972,47.0372,30.4243
2009-10-10,0.5964,54.1514,38.4107,31.2994
2009-10-20,0.6751,46.9673,40.2363,27.0718
2009-10-31,0.7267,39.967,48.0744,25.7043
2009-11-10,0.737,14.76,47.3996,28.5989
2009-11-20,0.7224,7.5337,47.5277,28.933000000000003
2009-11-30,0.6952,19.4676,46.9345,29.5932
2009-12-10,0.6618,20.4325,47.2137,29.7893
2009-12-20,0.6253,19.4288,48.2074,30.3171
2009-12-31,0.5859,6.3223,48.0763,31.7339
2010-01-10,0.5472,8.6009,47.2011,33.9564
2010-01-20,0.5124,5.1889,55.0042,35.5851
2010-01-31,0.4814,7.6372,64.3595,38.3695
2010-02-10,0.45799999999999996,10.321,53.5532,37.1194
2010-02-20,0.4532,14.1006,55.5053,35.019
2010-02-28,0.4769,30.3258,38.3904,40.2554
2010-03-10,0.5317,85.8108,43.2081,29.4082
2010-03-20,0.6058,37.8534,51.0958,33.9336
2010-03-31,0.6734,58.0223,49.1978,29.5746
2010-04-10,0.7132,30.8909,50.5539,30.6037
